               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.116,            0.016025,                   0,           0.0009837,             0.22923,          0.00090716,          0.00019516,            0.098748,            0.014162,                   0,               0.082,               0.002,               0.002
                   1,            0.097077,            0.016854,                   0,              0.2877,            0.034384,            0.043777,            0.010459,            0.088132,            0.012894,                   0,            0.063084,           0.0040838,           0.0040838
                   2,            0.091636,            0.015733,                   0,           0.0081991,             0.56447,            0.036085,            0.011429,            0.080535,            0.012411,                   0,            0.044151,           0.0061509,           0.0061509
                   3,            0.078608,            0.017084,                   0,             0.43056,             0.15186,              0.1507,            0.039066,            0.073075,            0.011326,                   0,            0.025201,           0.0082014,           0.0082014
                   4,            0.076483,            0.014997,                   0,             0.50638,             0.17192,             0.24098,            0.047036,            0.075787,            0.010623,                   0,           0.0098416,           0.0098416,           0.0098416
                   5,             0.06605,            0.017701,                   0,             0.44547,             0.33836,             0.31227,            0.078814,            0.073097,           0.0096589,                   0,           0.0098416,           0.0098416,           0.0098416
                   6,            0.063012,              0.0164,                   0,             0.57584,             0.45272,             0.50373,             0.18162,            0.061498,            0.010151,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.056465,            0.014141,                   0,              0.5979,              0.5616,             0.53999,             0.14806,            0.057967,            0.010463,                   0,           0.0097624,           0.0097624,           0.0097624
                   8,            0.054057,            0.014754,                   0,             0.67736,             0.63037,             0.67115,             0.26742,            0.047266,           0.0099035,                   0,           0.0097228,           0.0097228,           0.0097228
                   9,            0.049446,            0.012984,                   0,             0.76106,             0.72206,             0.74058,             0.31651,            0.044341,           0.0089023,                   0,           0.0096832,           0.0096832,           0.0096832
                  10,            0.045653,            0.012659,                   0,             0.68097,             0.66476,             0.67886,             0.24834,            0.048402,           0.0080405,                   0,           0.0096436,           0.0096436,           0.0096436
                  11,            0.046964,            0.011888,                   0,             0.81814,             0.76055,             0.84287,             0.36105,            0.041365,           0.0073029,                   0,            0.009604,            0.009604,            0.009604
                  12,            0.047229,            0.011008,                   0,             0.90139,             0.73066,              0.8588,             0.43864,            0.042446,           0.0069528,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,            0.042956,            0.010423,                   0,             0.82764,             0.81177,              0.8429,             0.37586,             0.04221,           0.0067392,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,            0.043663,           0.0095668,                   0,             0.86656,             0.77364,             0.83785,             0.30416,            0.042845,           0.0064355,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,            0.043786,            0.010226,                   0,              0.8964,             0.84296,             0.92747,              0.5105,            0.035415,           0.0059942,                   0,           0.0094456,           0.0094456,           0.0094456
                  16,            0.039906,           0.0096213,                   0,             0.90547,              0.8234,             0.92455,             0.48198,            0.033706,           0.0057791,                   0,            0.009406,            0.009406,            0.009406
                  17,            0.036732,           0.0087401,                   0,             0.89403,             0.82188,             0.89605,             0.41172,             0.04099,            0.005684,                   0,           0.0093664,           0.0093664,           0.0093664
                  18,            0.040467,           0.0084335,                   0,             0.87861,             0.85027,             0.91551,             0.46121,            0.035845,           0.0057896,                   0,           0.0093268,           0.0093268,           0.0093268
                  19,            0.042178,           0.0086632,                   0,             0.91467,             0.89072,             0.94074,             0.51486,            0.034555,           0.0052501,                   0,           0.0092872,           0.0092872,           0.0092872
                  20,            0.038948,           0.0082757,                   0,             0.88669,             0.87451,             0.89708,             0.39729,            0.037107,           0.0053358,                   0,           0.0092476,           0.0092476,           0.0092476
